language,city,date,mobile
greek,paris,26,1
estonian,valletta,2,1
hungarian,copenhagen,32,0
irish,amsterdam,18,0
croatian,rome,10,0
lithuanian,amsterdam,18,1
slovene,madrid,42,1
slovene,sofia,13,0
estonian,amsterdam,2,1
french,paris,11,1
finnish,vilnius,23,0
luxembourgish,vilnius,34,0
portuguese,madrid,19,1
czech,rome,7,1
slovakian,amsterdam,34,1
latvian,valletta,7,0
swedish,paris,37,1
italian,amsterdam,44,1
finnish,copenhagen,3,0
italian,vilnius,1,0
swedish,vienna,21,0
greek,vienna,4,0
romanian,vilnius,2,1
irish,vilnius,30,1
maltese,sofia,7,0
czech,paris,13,0
czech,sofia,33,0
greek,sofia,16,1
austrian,rome,44,0
polish,vilnius,1,0
lithuanian,paris,38,1
bulgarian,sofia,39,0
estonian,amsterdam,10,1
croatian,vilnius,11,1
irish,vienna,16,0
estonian,sofia,31,0
bulgarian,rome,14,1
latvian,valletta,42,0
danish,amsterdam,38,0
lithuanian,amsterdam,36,1
swedish,madrid,6,0
danish,vilnius,38,1
lithuanian,madrid,30,1
irish,rome,23,0
spanish,paris,11,1
slovakian,vilnius,36,1
polish,paris,14,1
finnish,valletta,28,1
maltese,vienna,21,1
romanian,amsterdam,37,1
dutch,vilnius,36,1
hungarian,madrid,43,0
italian,amsterdam,36,1
romanian,paris,5,0
german,rome,2,0
swedish,valletta,22,1
austrian,sofia,3,0
hungarian,amsterdam,20,1
croatian,vilnius,24,1
italian,rome,22,1
french,amsterdam,12,0
slovakian,vilnius,29,1
portuguese,vilnius,41,0
luxembourgish,rome,15,0
latvian,sofia,40,1
spanish,amsterdam,19,1
hungarian,madrid,36,1
maltese,copenhagen,31,1
portuguese,rome,13,0
estonian,vilnius,33,0
latvian,amsterdam,41,1
luxembourgish,vilnius,10,0
bulgarian,rome,22,0
danish,amsterdam,22,1
greek,rome,32,1
irish,vilnius,21,1
polish,amsterdam,33,1
swedish,vilnius,15,0
czech,paris,7,1
estonian,valletta,1,1
latvian,vilnius,20,1
slovene,copenhagen,5,1
austrian,rome,18,1
czech,rome,22,1
portuguese,vienna,29,0
danish,vienna,32,1
finnish,valletta,9,0
dutch,rome,28,0
cypriot,sofia,21,1
swedish,rome,16,0
danish,valletta,7,1
polish,copenhagen,16,0
cypriot,paris,20,1
bulgarian,valletta,17,1
danish,sofia,42,1
luxembourgish,vienna,20,1
danish,madrid,33,1
maltese,vilnius,16,0
hungarian,vilnius,38,0
croatian,sofia,10,0
austrian,rome,17,1
spanish,valletta,38,1
bulgarian,vienna,34,0
danish,vienna,17,0
spanish,sofia,15,0
maltese,amsterdam,10,0
lithuanian,rome,41,1
italian,sofia,27,0
portuguese,copenhagen,22,1
irish,valletta,27,1
dutch,sofia,18,0
croatian,vienna,0,1
bulgarian,vilnius,1,0
danish,sofia,19,0
slovene,vilnius,0,1
latvian,madrid,20,0
maltese,vilnius,21,0
czech,rome,9,1
estonian,amsterdam,3,1
latvian,rome,9,1
greek,paris,37,1
spanish,paris,37,1
spanish,paris,3,0
bulgarian,vilnius,6,0
czech,amsterdam,40,1
italian,amsterdam,14,0
polish,copenhagen,7,1
austrian,copenhagen,28,0
polish,copenhagen,7,0
latvian,sofia,3,0
polish,vienna,12,0
cypriot,sofia,14,1
slovene,vilnius,6,1
finnish,copenhagen,10,0
irish,valletta,13,1
bulgarian,paris,9,0
spanish,paris,16,0
portuguese,paris,1,0
latvian,paris,19,1
luxembourgish,rome,38,0
italian,vilnius,21,1
croatian,copenhagen,8,1
finnish,vilnius,34,0
lithuanian,amsterdam,35,1
french,copenhagen,32,1
luxembourgish,vilnius,0,1
italian,copenhagen,11,1
hungarian,madrid,18,0
spanish,valletta,25,1
maltese,rome,11,1
danish,amsterdam,30,0
austrian,copenhagen,1,0
hungarian,amsterdam,28,0
lithuanian,madrid,29,1
romanian,vienna,41,0
lithuanian,copenhagen,43,1
spanish,madrid,10,1
croatian,sofia,15,1
german,paris,36,1
maltese,paris,8,1
austrian,rome,42,0
czech,madrid,30,0
estonian,amsterdam,24,1
austrian,madrid,37,0
lithuanian,sofia,27,1
slovakian,rome,30,0
dutch,vilnius,35,0
german,valletta,10,1
austrian,paris,33,0
romanian,amsterdam,11,0
latvian,valletta,42,1
luxembourgish,paris,15,1
austrian,vilnius,3,0
cypriot,madrid,8,1
luxembourgish,paris,26,0
slovene,sofia,10,1
hungarian,copenhagen,26,0
latvian,madrid,28,1
austrian,copenhagen,14,1
croatian,madrid,6,0
spanish,vienna,23,0
estonian,valletta,16,0
polish,amsterdam,34,0
slovakian,sofia,40,1
croatian,madrid,10,0
irish,amsterdam,29,1
estonian,valletta,33,0
luxembourgish,rome,19,1
finnish,paris,15,0
luxembourgish,valletta,13,1
czech,valletta,38,0
swedish,paris,41,0
danish,sofia,15,0
finnish,paris,25,1
luxembourgish,paris,23,0
czech,paris,23,1
austrian,copenhagen,5,1
portuguese,vienna,8,0
austrian,vienna,39,0
romanian,valletta,23,0
lithuanian,madrid,19,1
danish,copenhagen,33,1
irish,vilnius,21,0
finnish,valletta,6,1
maltese,valletta,8,1
hungarian,madrid,30,0
czech,vilnius,4,0
danish,paris,33,0
luxembourgish,rome,21,0
lithuanian,copenhagen,29,1
romanian,madrid,19,0
lithuanian,vilnius,23,1
slovene,copenhagen,13,0
portuguese,rome,41,0
german,copenhagen,35,0
finnish,valletta,8,0
lithuanian,vienna,11,0
irish,paris,30,1
hungarian,vilnius,16,0
romanian,madrid,41,0
german,valletta,14,1
latvian,vilnius,19,0
maltese,copenhagen,44,1
finnish,copenhagen,40,1
latvian,paris,4,1
hungarian,valletta,4,0
cypriot,rome,31,0
hungarian,rome,2,1
maltese,copenhagen,42,1
portuguese,vilnius,34,1
swedish,vienna,15,1
luxembourgish,paris,5,1
estonian,madrid,3,1
slovene,rome,6,0
italian,amsterdam,14,1
finnish,amsterdam,13,1
german,paris,40,0
cypriot,madrid,13,0
maltese,paris,5,1
bulgarian,copenhagen,23,0
italian,madrid,20,1
luxembourgish,madrid,39,0
finnish,copenhagen,9,0
finnish,amsterdam,28,0
portuguese,sofia,9,1
cypriot,vienna,5,1
croatian,rome,42,0
bulgarian,amsterdam,38,0
spanish,amsterdam,21,1
danish,madrid,34,1
bulgarian,amsterdam,11,1
latvian,vilnius,22,1
italian,vilnius,31,0
lithuanian,copenhagen,20,1
czech,vienna,40,0
slovene,valletta,19,1
finnish,amsterdam,23,1
slovene,rome,33,0
polish,vilnius,32,1
slovene,amsterdam,43,0
german,vilnius,42,1
danish,madrid,11,0
spanish,vienna,43,0
italian,paris,39,1
greek,madrid,4,0
cypriot,vilnius,1,0
lithuanian,amsterdam,14,1
spanish,paris,28,1
lithuanian,rome,7,0
finnish,vilnius,15,1
estonian,vienna,8,0
cypriot,sofia,24,0
cypriot,valletta,38,0
hungarian,madrid,8,1
danish,amsterdam,36,0
slovakian,madrid,12,0
italian,amsterdam,34,0
estonian,sofia,7,0
finnish,madrid,44,0
danish,amsterdam,44,1
bulgarian,madrid,2,0
italian,amsterdam,38,0
german,madrid,33,0
italian,madrid,31,1
german,rome,12,0
cypriot,paris,28,1
hungarian,madrid,18,1
lithuanian,sofia,25,1
slovakian,vilnius,33,1
slovene,madrid,0,1
latvian,vienna,9,0
danish,valletta,37,0
greek,paris,27,0
romanian,vienna,33,1
croatian,copenhagen,19,1
croatian,vienna,11,0
portuguese,valletta,40,0
irish,sofia,43,0
austrian,paris,23,1
spanish,vilnius,12,0
portuguese,valletta,32,1
estonian,madrid,8,0
cypriot,vilnius,16,1
french,amsterdam,22,0
french,vilnius,1,0
hungarian,rome,27,1
maltese,vilnius,0,1
danish,rome,17,1
german,sofia,38,1
maltese,madrid,1,0
spanish,vilnius,21,1
irish,vienna,29,1
lithuanian,valletta,41,1
czech,valletta,32,1
finnish,rome,30,0
estonian,rome,6,1
finnish,amsterdam,38,0
estonian,valletta,28,0
bulgarian,rome,41,0
croatian,sofia,8,0
slovene,valletta,43,0
hungarian,paris,8,1
croatian,vienna,19,1
slovene,rome,18,1
french,paris,20,0
luxembourgish,madrid,44,0
croatian,valletta,8,1
irish,vienna,26,0
lithuanian,vienna,10,0
austrian,vienna,16,0
slovene,madrid,44,0
luxembourgish,paris,25,0
czech,vilnius,7,0
lithuanian,vienna,15,0
italian,copenhagen,21,0
polish,valletta,17,1
polish,vienna,38,0
polish,madrid,36,1
estonian,vienna,15,0
danish,vilnius,8,1
romanian,sofia,22,1
romanian,valletta,21,1
dutch,paris,0,0
czech,amsterdam,6,0
greek,vienna,34,1
french,copenhagen,34,0
czech,paris,18,1
irish,paris,44,0
lithuanian,valletta,44,1
romanian,vienna,39,1
luxembourgish,copenhagen,12,1
hungarian,vilnius,36,1
portuguese,vilnius,40,1
romanian,paris,9,1
maltese,rome,19,0
dutch,paris,36,1
greek,vilnius,15,1
austrian,sofia,38,0
latvian,amsterdam,15,0
spanish,paris,39,0
maltese,sofia,42,0
maltese,sofia,18,1
maltese,sofia,40,1
estonian,sofia,3,1
irish,amsterdam,0,1
luxembourgish,vilnius,12,1
estonian,copenhagen,21,1
estonian,paris,37,1
danish,madrid,19,0
croatian,vilnius,33,0
bulgarian,paris,18,0
portuguese,rome,24,0
irish,amsterdam,36,1
irish,madrid,1,0
lithuanian,amsterdam,10,0
luxembourgish,madrid,4,1
french,paris,44,1
german,rome,35,0
italian,paris,0,0
romanian,vilnius,14,1
maltese,copenhagen,40,0
finnish,madrid,23,1
dutch,amsterdam,1,0
greek,madrid,27,0
slovakian,sofia,22,0
portuguese,vienna,1,1
polish,vienna,29,1
portuguese,copenhagen,28,0
lithuanian,copenhagen,14,0
portuguese,madrid,35,0
polish,rome,23,0
swedish,vienna,24,1
austrian,vilnius,26,0
luxembourgish,valletta,19,1
luxembourgish,amsterdam,0,0
austrian,vienna,20,0
irish,rome,1,0
czech,madrid,20,1
french,paris,17,0
romanian,copenhagen,17,0
estonian,copenhagen,34,1
austrian,copenhagen,7,1
croatian,vilnius,12,0
hungarian,sofia,30,0
portuguese,vilnius,43,0
portuguese,copenhagen,11,1
luxembourgish,paris,42,0
croatian,sofia,38,0
austrian,paris,31,1
slovene,copenhagen,21,1
croatian,sofia,20,1
bulgarian,paris,3,0
romanian,vilnius,29,0
lithuanian,valletta,43,0
lithuanian,vienna,13,1
irish,amsterdam,13,0
hungarian,valletta,37,1
romanian,madrid,40,1
czech,sofia,2,0
danish,sofia,5,1
italian,paris,43,0
greek,valletta,39,0
dutch,vienna,32,1
danish,madrid,20,0
lithuanian,paris,29,0
french,vilnius,31,1
hungarian,rome,37,0
latvian,vilnius,20,0
polish,rome,15,0
lithuanian,valletta,37,0
croatian,sofia,37,1
greek,sofia,31,1
danish,paris,12,1
slovene,valletta,33,1
french,sofia,10,0
swedish,madrid,10,1
hungarian,amsterdam,41,0
hungarian,rome,29,0
dutch,vienna,38,1
croatian,sofia,27,0
bulgarian,paris,0,0
dutch,valletta,11,0
finnish,paris,33,1
romanian,vienna,18,0
polish,madrid,19,0
hungarian,rome,21,0
polish,rome,26,1
cypriot,valletta,6,1
german,vilnius,9,1
german,sofia,2,1
romanian,valletta,24,0
croatian,vienna,14,0
bulgarian,vilnius,33,1
irish,valletta,29,1
cypriot,vilnius,34,1
latvian,amsterdam,0,0
finnish,vilnius,29,0
luxembourgish,valletta,24,1
portuguese,paris,0,1
cypriot,madrid,21,1
portuguese,paris,1,1
slovakian,rome,16,0
dutch,madrid,26,1
lithuanian,vilnius,5,0
danish,vienna,8,1
portuguese,madrid,43,1
irish,madrid,27,1
danish,rome,34,1
italian,vilnius,17,0
latvian,copenhagen,30,0
portuguese,madrid,30,0
spanish,sofia,29,0
estonian,valletta,32,1
croatian,amsterdam,32,0
greek,vilnius,3,1
slovene,vilnius,10,1
polish,paris,35,0
dutch,vilnius,43,0
polish,vilnius,29,1
maltese,madrid,2,1
bulgarian,sofia,35,0
finnish,rome,37,0
croatian,copenhagen,10,1
german,vilnius,21,1
greek,madrid,43,0
maltese,copenhagen,28,1
estonian,madrid,41,1
croatian,paris,42,1
italian,vienna,38,1
finnish,madrid,8,1
hungarian,amsterdam,27,1
austrian,vienna,26,0
greek,valletta,15,0
portuguese,valletta,26,1
lithuanian,sofia,23,1
italian,vienna,33,0
czech,madrid,12,0
latvian,amsterdam,1,0
bulgarian,vienna,1,0
danish,vilnius,26,0
hungarian,paris,1,0
bulgarian,amsterdam,40,1
austrian,copenhagen,25,1
slovakian,paris,10,0
slovene,madrid,27,0
french,vienna,35,1
latvian,copenhagen,43,1
polish,valletta,34,0
italian,vienna,24,1
greek,valletta,18,0
croatian,madrid,40,0
greek,copenhagen,14,0
croatian,madrid,41,1
czech,amsterdam,33,1
swedish,sofia,27,1
slovene,amsterdam,23,0
italian,amsterdam,35,1
danish,madrid,28,0
italian,madrid,17,1
swedish,valletta,30,1
greek,copenhagen,0,1
romanian,vilnius,31,1
latvian,valletta,34,0
czech,sofia,39,1
lithuanian,paris,28,0
luxembourgish,paris,22,1
italian,sofia,15,1
austrian,madrid,14,1
slovakian,valletta,38,1
czech,vilnius,33,1
austrian,paris,20,0
spanish,amsterdam,12,0
portuguese,sofia,36,0
french,vilnius,2,1
dutch,paris,22,0
danish,valletta,23,0
austrian,rome,14,0
finnish,copenhagen,43,1
spanish,vilnius,22,0
latvian,copenhagen,22,1
luxembourgish,madrid,2,0
irish,vienna,44,0
slovakian,vienna,34,0
danish,sofia,26,0
lithuanian,copenhagen,34,0
luxembourgish,rome,25,1
dutch,madrid,29,0
polish,vilnius,37,0
dutch,valletta,34,1
greek,rome,20,0
finnish,vienna,17,0
lithuanian,madrid,16,1
irish,vilnius,28,0
danish,copenhagen,28,1
spanish,madrid,8,1
french,sofia,44,1
dutch,sofia,0,0
hungarian,paris,20,0
croatian,paris,25,1
dutch,paris,13,1
italian,madrid,44,0
austrian,sofia,38,1
hungarian,vilnius,17,0
irish,rome,26,0
luxembourgish,sofia,2,0
hungarian,copenhagen,20,1
french,sofia,42,1
romanian,sofia,15,1
croatian,madrid,20,0
finnish,amsterdam,17,1
spanish,vienna,39,0
french,rome,34,1
luxembourgish,paris,0,0
french,madrid,14,0
danish,vienna,31,0
bulgarian,vilnius,17,1
croatian,vilnius,2,1
romanian,rome,14,1
finnish,sofia,35,0
lithuanian,amsterdam,0,1
latvian,vienna,8,0
slovene,valletta,35,1
danish,amsterdam,6,0
german,valletta,1,0
finnish,vienna,36,0
cypriot,paris,11,0
slovene,valletta,29,1
danish,amsterdam,24,0
romanian,vienna,24,0
greek,sofia,22,1
luxembourgish,valletta,32,0
austrian,sofia,20,1
lithuanian,paris,27,1
swedish,amsterdam,42,1
italian,copenhagen,14,0
portuguese,paris,4,1
romanian,amsterdam,16,1
estonian,sofia,18,0
french,valletta,33,0
estonian,amsterdam,6,1
dutch,copenhagen,29,1
luxembourgish,rome,40,0
dutch,amsterdam,40,0
french,sofia,24,1
slovene,copenhagen,39,0
polish,madrid,44,1
slovene,valletta,2,1
cypriot,copenhagen,10,0
finnish,rome,18,0
lithuanian,vilnius,35,1
polish,amsterdam,10,1
danish,valletta,0,0
lithuanian,rome,39,0
czech,madrid,14,0
maltese,rome,11,0
maltese,madrid,43,0
dutch,copenhagen,41,1
maltese,sofia,2,0
dutch,sofia,2,0
danish,copenhagen,25,0
maltese,copenhagen,5,0
austrian,madrid,27,0
estonian,sofia,38,1
bulgarian,madrid,36,1
danish,madrid,44,1
estonian,amsterdam,13,0
hungarian,amsterdam,35,0
greek,rome,14,0
estonian,amsterdam,1,1
finnish,vilnius,0,0
polish,vienna,44,1
maltese,vilnius,41,0
estonian,madrid,42,1
croatian,copenhagen,34,1
hungarian,copenhagen,26,1
finnish,valletta,3,1
finnish,amsterdam,43,0
croatian,madrid,14,1
hungarian,valletta,5,1
luxembourgish,paris,28,0
italian,vilnius,37,1
portuguese,madrid,35,1
dutch,valletta,7,0
hungarian,vilnius,32,1
latvian,madrid,19,0
french,paris,29,1
danish,rome,37,1
latvian,amsterdam,10,0
swedish,valletta,19,1
spanish,valletta,24,0
slovene,rome,7,1
romanian,valletta,44,0
bulgarian,vienna,25,1
estonian,vilnius,22,1
lithuanian,sofia,20,0
spanish,madrid,17,1
spanish,madrid,26,1
lithuanian,sofia,18,0
portuguese,paris,9,1
spanish,vilnius,29,1
luxembourgish,madrid,44,1
greek,vilnius,30,1
hungarian,valletta,3,1
maltese,valletta,26,0
danish,paris,20,1
finnish,copenhagen,24,0
greek,madrid,34,0
cypriot,sofia,6,0
german,vilnius,26,1
slovakian,valletta,19,0
irish,valletta,36,0
bulgarian,copenhagen,42,1
slovene,vienna,17,0
irish,amsterdam,21,1
german,vilnius,36,0
latvian,copenhagen,42,1
french,sofia,17,1
lithuanian,sofia,3,0
swedish,amsterdam,30,0
maltese,vilnius,23,1
lithuanian,valletta,38,1
danish,vilnius,2,0
hungarian,valletta,19,0
italian,copenhagen,25,1
maltese,copenhagen,30,0
latvian,paris,39,1
estonian,paris,32,0
romanian,paris,4,1
greek,vilnius,28,1
dutch,copenhagen,27,0
maltese,vilnius,15,0
latvian,madrid,41,0
latvian,amsterdam,44,0
cypriot,copenhagen,24,0
italian,copenhagen,16,1
polish,copenhagen,1,1
hungarian,vilnius,1,0
czech,copenhagen,0,1
croatian,rome,20,0
lithuanian,vienna,1,0
austrian,paris,10,0
maltese,paris,7,1
czech,madrid,43,1
luxembourgish,amsterdam,43,0
bulgarian,vilnius,34,1
czech,vienna,25,1
austrian,sofia,27,1
austrian,sofia,34,0
maltese,amsterdam,23,0
lithuanian,madrid,35,0
estonian,paris,20,0
slovene,rome,24,0
italian,valletta,30,0
maltese,madrid,3,1
luxembourgish,sofia,23,1
swedish,paris,10,0
cypriot,copenhagen,24,1
danish,amsterdam,8,1
swedish,sofia,24,1
austrian,madrid,4,0
spanish,copenhagen,42,1
latvian,sofia,19,0
croatian,paris,13,0
hungarian,paris,18,1
estonian,madrid,32,1
czech,valletta,19,1
maltese,vienna,13,0
lithuanian,madrid,37,0
croatian,paris,5,1
bulgarian,sofia,4,1
luxembourgish,sofia,42,0
greek,vilnius,31,1
lithuanian,sofia,17,0
spanish,vienna,27,0
spanish,sofia,18,1
cypriot,madrid,1,0
latvian,paris,25,0
austrian,amsterdam,0,0
german,vilnius,42,0
slovene,valletta,7,0
italian,vilnius,35,1
czech,madrid,40,1
slovene,vilnius,27,1
irish,vilnius,14,1
hungarian,sofia,2,1
swedish,vilnius,1,1
danish,vilnius,9,0
polish,madrid,12,0
slovene,sofia,29,0
hungarian,vienna,38,0
swedish,valletta,37,0
slovene,rome,29,1
austrian,madrid,20,0
cypriot,sofia,23,0
bulgarian,amsterdam,17,1
maltese,copenhagen,36,0
luxembourgish,madrid,9,1
austrian,paris,44,0
maltese,vilnius,9,0
italian,valletta,7,0
spanish,valletta,16,1
german,copenhagen,42,1
finnish,amsterdam,35,0
polish,sofia,7,1
italian,madrid,26,0
czech,valletta,6,0
romanian,sofia,43,0
dutch,vilnius,25,0
cypriot,vienna,38,1
german,amsterdam,21,0
finnish,madrid,11,1
french,madrid,38,1
greek,copenhagen,12,0
dutch,sofia,30,1
slovene,paris,37,0
slovene,sofia,20,0
lithuanian,rome,6,1
latvian,madrid,44,0
dutch,vilnius,23,1
estonian,copenhagen,26,0
slovene,paris,26,0
cypriot,rome,28,1
finnish,amsterdam,31,0
czech,madrid,17,1
dutch,amsterdam,1,1
romanian,rome,14,0
swedish,vilnius,14,0
romanian,vilnius,7,0
latvian,amsterdam,8,1
slovene,amsterdam,21,1
german,valletta,24,0
irish,copenhagen,22,1
lithuanian,valletta,2,1
lithuanian,paris,26,0
czech,valletta,39,1
greek,valletta,26,1
dutch,amsterdam,21,1
maltese,vienna,42,1
portuguese,vilnius,44,1
irish,valletta,32,1
cypriot,paris,14,0
romanian,amsterdam,40,0
spanish,rome,41,0
lithuanian,rome,2,1
cypriot,vienna,27,1
danish,paris,5,1
danish,valletta,41,0
czech,vilnius,1,1
dutch,valletta,2,1
slovene,sofia,7,0
bulgarian,rome,20,1
german,copenhagen,16,1
irish,valletta,40,0
cypriot,amsterdam,28,0
danish,vilnius,6,1
romanian,valletta,20,0
cypriot,vilnius,30,0
slovakian,madrid,37,1
czech,paris,42,0
polish,vilnius,24,1
hungarian,amsterdam,10,0
greek,sofia,27,0
swedish,copenhagen,5,1
hungarian,vilnius,7,1
bulgarian,madrid,38,1
bulgarian,copenhagen,40,0
czech,vilnius,2,1
dutch,paris,33,1
romanian,valletta,16,1
hungarian,copenhagen,21,0
finnish,vilnius,5,1
portuguese,amsterdam,19,0
cypriot,paris,15,1
slovene,vilnius,11,1
german,vienna,19,1
bulgarian,amsterdam,13,0
polish,amsterdam,41,1
estonian,vilnius,11,1
swedish,rome,12,0
croatian,amsterdam,7,0
dutch,paris,20,1
bulgarian,rome,10,0
estonian,rome,19,0
estonian,rome,1,0
lithuanian,copenhagen,29,0
irish,valletta,38,1
german,amsterdam,32,1
danish,valletta,43,0
french,madrid,23,0
finnish,rome,24,1
swedish,paris,35,1
luxembourgish,sofia,9,1
croatian,sofia,16,0
estonian,amsterdam,33,1
finnish,rome,11,1
estonian,amsterdam,14,1
bulgarian,paris,35,1
romanian,paris,12,0
austrian,vilnius,8,1
dutch,vilnius,15,1
swedish,valletta,4,1
italian,sofia,17,1
romanian,sofia,24,1
austrian,sofia,36,0
danish,vienna,20,1
danish,valletta,32,1
hungarian,madrid,26,1
dutch,paris,17,1
cypriot,vienna,43,1
hungarian,amsterdam,25,1
polish,valletta,21,1
latvian,copenhagen,38,0
latvian,copenhagen,18,1
slovakian,vilnius,7,1
croatian,copenhagen,44,1
portuguese,amsterdam,34,1
croatian,sofia,4,1
czech,paris,39,1
slovakian,copenhagen,13,0
austrian,paris,36,1
swedish,vienna,29,1
lithuanian,sofia,10,0
greek,madrid,7,0
bulgarian,sofia,13,1
dutch,copenhagen,2,1
italian,valletta,35,1
spanish,sofia,17,0
estonian,vienna,5,0
spanish,sofia,27,1
bulgarian,madrid,27,1
croatian,vilnius,0,0
cypriot,amsterdam,38,0
luxembourgish,madrid,26,0
slovakian,valletta,43,0
spanish,copenhagen,19,1
polish,vienna,3,1
bulgarian,copenhagen,39,1
maltese,paris,20,1
french,valletta,37,0
spanish,paris,22,0
maltese,rome,8,0
cypriot,valletta,5,0
portuguese,valletta,38,0
portuguese,sofia,9,0
slovakian,madrid,33,0
